date,count
2019-08-01,418
2019-08-02,810
2019-08-03,425
2019-08-04,528
2019-08-05,396
2019-08-06,538
2019-08-07,476
2019-08-08,291
2019-08-09,554
2019-08-10,608
2019-08-11,988
2019-08-12,869
2019-08-13,785
2019-08-14,641
2019-08-15,389
2019-08-16,491
2019-08-17,300
2019-08-18,375
2019-08-19,508
2019-08-20,797
2019-08-21,636
2019-08-22,610
2019-08-23,484
2019-08-24,346
2019-08-25,306
2019-08-26,325
2019-08-27,421
2019-08-28,546
2019-08-29,575
2019-08-30,474
2019-08-31,344
2019-09-01,536
2019-09-02,399
2019-09-03,614
2019-09-04,519
2019-09-05,534
2019-09-06,1200
2019-09-07,1075
2019-09-08,1200
2019-09-09,1230
2019-09-10,1317
2019-09-11,889
2019-09-12,940
2019-09-13,981
2019-09-14,893
2019-09-15,931
2019-09-16,599
2019-09-17,512
2019-09-18,414
2019-09-19,426
2019-09-20,362
2019-09-21,241
2019-09-22,294
2019-09-23,389
2019-09-24,454
2019-09-25,293
2019-09-26,345
2019-09-27,455
2019-09-28,525
2019-09-29,520
2019-09-30,669
2019-11-01,448
2019-11-02,565
2019-11-03,536
2019-11-04,891
2019-11-05,658
2019-11-06,959
2019-11-07,2644
2019-11-08,4095
2019-11-09,3140
2019-11-10,2605
2019-11-11,1337
2019-11-12,3342
2019-11-13,1856
2019-11-14,1812
2019-11-15,2627
2019-11-16,1643
2019-11-17,1665
2019-11-18,1863
2019-11-19,2423
2019-11-20,1405
2019-11-21,1761
2019-11-22,1551
2019-11-23,1092
2019-11-24,966
2019-11-25,1025
2019-11-26,924
2019-11-27,835
2019-11-28,850
2019-11-29,950
2019-11-30,670
2019-12-01,1141
2019-12-02,1894
2019-12-03,2387
2019-12-04,3145
2019-12-05,3486
2019-12-06,3787
2019-12-07,2746
2019-12-08,1898
2019-12-09,2945
2019-12-10,1586
2019-12-11,887
2019-12-12,843
2019-12-13,974
2019-12-14,2293
2019-12-15,2744
2019-12-16,2854
2019-12-17,2690
2019-12-18,4000
2019-12-19,4768
2019-12-20,3721
2019-12-21,4031
2019-12-22,1497
2019-12-23,1445
2019-12-24,1521
2019-12-25,2031
2019-12-26,2199
2019-12-27,1919
2019-12-28,2381
2019-12-29,3236
2019-12-30,6925
2019-12-31,3438
2020-01-01,3680
2020-01-02,4383
2020-01-03,4245
2020-01-04,7342
2020-01-05,912
2020-01-06,930
2020-01-07,1239
2020-01-08,1026
2020-01-09,772
2020-01-10,575
2020-01-11,1199
2020-01-12,961
2020-01-13,1964
2020-01-14,1029
2020-01-15,304
2020-01-16,249
2020-01-17,154
2020-01-18,178
2020-01-19,68
2020-01-20,74
2020-01-21,121
2020-01-22,166
2020-01-23,197
2020-01-24,177
2020-01-25,234
2020-01-26,466
2020-01-27,202
2020-01-28,411
2020-01-29,672
2020-01-30,864
