year,season_start,total_fire_area_km2,national_fire_area_km2,total_count,is_black_summer
2005-06,2005,48241.6,93838.1,25689,False
2006-07,2006,75900.4,256681.3,39923,False
2007-08,2007,34985.4,211148.1,18064,False
2008-09,2008,40116.3,101055.4,21536,False
2009-10,2009,80820.6,179669.4,44027,False
2010-11,2010,14539.9,51458.0,7885,False
2011-12,2011,111075.7,380726.6,57271,False
2012-13,2012,130984.7,390068.1,67175,False
2013-14,2013,48809.7,110564.3,26713,False
2014-15,2014,37790.9,173097.3,20444,False
2015-16,2015,27655.5,138360.8,15294,False
2016-17,2016,34045.6,77886.0,18330,False
2017-18,2017,34710.7,205068.5,18392,False
2018-19,2018,53200.6,216451.0,28151,False
2019-20,2019,144236.0,234380.2,83176,True
