month_num,month_label,month_order,q1_fire_area_km2,median_fire_area_km2,q3_fire_area_km2,min_fire_area_km2,max_fire_area_km2,cloud_y0,cloud_y1
1,Jan,0,1569.8,4068.5,7598.6,1076.5,16831.0,-0.18,0.18
2,Feb,1,1528.8,2737.0,3531.0,424.7,4454.2,0.82,1.18
3,Mar,2,2044.2,2271.9,3198.6,1112.7,6841.2,1.82,2.18
4,Apr,3,3741.9,4423.4,5912.7,2539.1,8495.9,2.82,3.18
5,May,4,1800.0,2751.2,3642.0,1598.0,5189.3,3.82,4.18
6,Jun,5,791.2,1156.8,1743.7,636.8,3164.5,4.82,5.18
7,Jul,6,1394.2,1756.2,2459.0,790.1,3210.2,5.82,6.18
8,Aug,7,2468.7,3427.9,4865.8,1996.2,8849.1,6.82,7.18
9,Sep,8,5324.8,6312.2,8025.8,1715.9,24522.8,7.82,8.18
10,Oct,9,7985.8,9367.4,13702.1,4079.2,36759.9,8.82,9.18
11,Nov,10,8011.8,12078.5,21614.5,2196.6,37971.6,9.82,10.18
12,Dec,11,5682.0,8203.0,11210.2,938.8,28469.3,10.82,11.18
